"
				Date
			","
				Brightness
			","
				Start
			","
				Start
			","
				Start
			","
				Highest point
			","
				Highest point
			","
				Highest point
			","
				End
			","
				End
			","
				End
			","
				Pass type
			"
"
				Date
			","
				(mag)
			","
				Time
			","
				Alt.
			","
				Az.
			","
				Time
			","
				Alt.
			","
				Az.
			","
				Time
			","
				Alt.
			","
				Az.
			","
				Pass type
			"
"
24 Sep
",-2.1,20:53:46,10°,SSW,20:55:36,20°,S,20:55:36,20°,S,visible
"
25 Sep
",-2.0,20:02:34,10°,S,20:04:44,17°,SSE,20:06:01,14°,ESE,visible
"
25 Sep
",-1.6,21:37:34,10°,WSW,21:38:41,18°,SW,21:38:41,18°,SW,visible
"
26 Sep
",-2.9,20:45:55,10°,SW,20:48:54,31°,SSE,20:48:59,31°,SSE,visible
"
27 Sep
",-2.4,19:54:23,10°,SSW,19:57:09,25°,SSE,19:59:10,14°,ESE,visible
"
27 Sep
",-2.1,21:30:04,10°,WSW,21:31:50,27°,SW,21:31:50,27°,SW,visible
"
28 Sep
",-3.2,20:38:16,10°,WSW,20:41:23,40°,S,20:41:57,36°,SE,visible
"
28 Sep
",-0.7,22:14:28,10°,W,22:14:37,11°,W,22:14:37,11°,W,visible
"
29 Sep
",-2.9,19:46:32,10°,SW,19:49:34,34°,SSE,19:52:00,14°,ESE,visible
"
29 Sep
",-2.4,21:22:35,10°,WSW,21:24:40,31°,SW,21:24:40,31°,SW,visible
"
30 Sep
",-3.3,20:30:42,10°,WSW,20:33:53,44°,S,20:34:41,36°,SE,visible
"
30 Sep
",-0.7,22:07:04,10°,W,22:07:21,12°,W,22:07:21,12°,W,visible
